"potentialBenefits","recommendationTypeId","learnMoreLink.Name","learnMoreLink.Url","publishedToAdvisor","aprlGuid","automationAvailable","description","publishedToLearn","recommendationControl","recommendationResourceType","longDescription","recommendationImpact","tags","pgVerified","recommendationMetadataState","automationAvailableReal"
"Improved AVD hostpool config & segmentation",,"Learn More","https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/deploy/virtual-dc/adds-on-azure-vm#configure-the-vms-and-install-active-directory-domain-services","False","939cb85c-102a-4e0a-ab82-5c92116d3778","no","Ensure a unique OU when deploying VMs to Domain","False","Governance","Microsoft.DesktopVirtualization/hostPools","Hybrid VMs should be in a unique OU.
When using AD-joined session hosts will benefit from using a unique OU to target specific AVD configurations per hostpool. Examples include Fslogix, time out limits, session controls, and much more. It�s also important to segment Prod and DR organization units to ensure resources are configured per environment.
","Medium",,"Verified","Active","none"
"Ensures VM recovery & failover",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-desktop/scheduled-agent-updates","False","38721758-2cc2-4d6b-b7b7-8b47dadbf7df","no","Use Azure Site Recovery or Backups on VMs supporting personal desktops","False","Disaster Recovery","Microsoft.DesktopVirtualization/hostPools","Leverage Azure Site Recovery (ASR) or implement Azure Backup for personal host pools for seamless failover and failback capabilities, enabling the replication of VMs supporting personal desktops to a secondary Azure region. In the event of a disaster or unexpected outage, this ensures the recovery of these VMs from a known-state.
","Medium",,"Verified","Active","none"
"Early issue detection & testing for AVD updates",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-desktop/configure-validation-environment?tabs=azure-portal","False","97d4d8c1-eeb4-4506-b338-79a4949c993b","no","(Personal) Create a validation pool for testing of planned updates","False","Governance","Microsoft.DesktopVirtualization/hostPools","At least one Validation Pool to have early warning if a planned update to AVD causes an issue. Also check that the host pool has been used regularly to test planned updates.
Host pools are a collection of one or more identical virtual machines within Azure Virtual Desktop environment. We highly recommend you create a validation host pool where service updates are applied first. Validation host pools let you monitor service updates before the service applies them to your standard or non-validation environment. Without a validation host pool, you may not discover changes that introduce errors, which could result in downtime for users in your standard environment.
To ensure your apps work with the latest updates, the validation host pool should be as similar to host pools in your non-validation environment as possible. Users should connect as frequently to the validation host pool as they do to the standard host pool. If you have automated testing on your host pool, you should include automated testing on the validation host pool.
","Low",,"Verified","Active","none"
"Minimizes disruptions, ensures updates",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-desktop/scheduled-agent-updates","False","9fc522c1-d5b0-4bad-8169-1e1d32855afd","no","(Pooled) Configure scheduled agent updates","False","Scalability","Microsoft.DesktopVirtualization/hostPools","Ensure schedules have been created to provide maintenance windows for AVD agent updates.
The Scheduled Agent Updates feature lets you create up to two maintenance windows for the Azure Virtual Desktop agent, side-by-side stack, and Geneva Monitoring agent to get updated so that updates don't happen during peak business hours.
","Medium",,"Verified","Active","none"
"Early detection of update issues.",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-desktop/configure-validation-environment?tabs=azure-portal","False","0a22b144-6fa7-4032-be77-fa64152858eb","no","(Pooled) Create a validation pool for testing of planned updates","False","Governance","Microsoft.DesktopVirtualization/hostPools","At least one Validation Pool to have early warning if a planned update to AVD causes an issue. support to adjust limits based on your business requirements. To handle a large number of users, consider scaling horizontally by creating multiple host pools.
Also check that the host pool has been used regularly to test planned updates.
Host pools are a collection of one or more identical virtual machines within Azure Virtual Desktop environment. We highly recommend you create a validation host pool where service updates are applied first. Validation host pools let you monitor service updates before the service applies them to your standard or non-validation environment. Without a validation host pool, you may not discover changes that introduce errors, which could result in downtime for users in your standard environment.
To ensure your apps work with the latest updates, the validation host pool should be as similar to host pools in your non-validation environment as possible. Users should connect as frequently to the validation host pool as they do to the standard host pool. If you have automated testing on your host pool, you should include automated testing on the validation host pool.
","Medium",,"Verified","Active","none"
"Ensures consistency; minimizes drift",,"Learn More","https://learn.microsoft.com/en-us/training/modules/create-manage-session-host-image/","False","2831dab9-6a43-44a1-8aec-90a8e84894bc","no","Create updated image version and replace session hosts rather than updating host directly","False","Governance","Microsoft.DesktopVirtualization/hostPools","Establish a systematic process for handling image updates within your Azure Virtual Desktop environment. Instead of directly updating individual session hosts, create a new version of the updated image. This process involves creating and configuring a golden image with the necessary updates and configurations. Once the new image is prepared, replace existing session hosts with instances using the updated image. This approach ensures consistency across all session hosts and minimizes the risk of configuration drift. Additionally, it enables quick rollback to a previous image version in case of any issues with the update. Implementing this process helps streamline maintenance activities and ensures that all session hosts are up-to-date with the latest configurations and updates.
has context menu
","Low",,"Verified","Active","none"
"Enhanced AVD uptime and awareness",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/azure-virtual-desktop/monitoring#resource-health","False","a75a20e7-8cc0-4f7b-b4a9-e2476bd72429","no","Monitor Service Health and Resource Health of AVD","False","Monitoring and Alerting","Microsoft.DesktopVirtualization/hostPools","Use Service Health to stay informed about the health of the Azure services and regions that you use to insure their availability.
Set up Service Health alerts so that you stay aware of service issues, planned maintenance, or other changes that might affect your Azure Virtual Desktop resources.
Use Resource Health to monitor your VMs and storage solutions.
","High",,"Verified","Active","none"
"Enhanced reliability and performance",,"Learn More","https://learn.microsoft.com/en-us/azure/architecture/example-scenario/identity/adds-extend-domain#reliability","False","99bf5c94-aa68-4bb3-8b7f-45d1c5f09b5d","no","Deploy Domain Controllers and DNS Servers in Azure Virtual Network Across Availability Zones","False","High Availability","Microsoft.DesktopVirtualization/hostPools","When using an AD DS identity solution with AVD, it is recommended to deploy domain controllers and DNS servers on Azure virtual machines across availability zones. This improves the environment�s reliability by removing a dependency on an on-premises service and improves performance by creating a shorter path for user authentication.
This recommendation is not relevant when you are utilizing Microsoft Entra as the identity provider.
","High",,"Verified","Active","none"
"Better reliability & consistent latency",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-desktop/rdp-shortpath?tabs=managed-networks","False","3835b4b3-0479-4be8-9ffd-34ae29fa33b9","no","Implement RDP Shortpath for Public or Managed Networks","False","Other Best Practices","Microsoft.DesktopVirtualization/hostPools","It is recommended to enable RDP Shortpath for AVD. RDP Shortpath is a feature of Azure Virtual Desktop that establishes a direct UDP-based transport between a supported Windows Remote Desktop client and session host. By default, Remote Desktop Protocol (RDP) tries to establish connection using UDP and uses a TCP-based reverse connect transport as a fallback connection mechanism. TCP-based reverse connect transport provides the best compatibility with various networking configurations and has a high success rate for establishing RDP connections. UDP-based transport offers better connection reliability and more consistent latency.
","Medium",,"Verified","Active","none"
"Enhanced resilience & uptime",,"Learn More","https://learn.microsoft.com/en-us/azure/architecture/example-scenario/wvd/azure-virtual-desktop-multi-region-bcdr","False","0714d039-535e-468d-9732-e32b5c094faa","no","Implement a Multi-Region BCDR Plan","False","Disaster Recovery","Microsoft.DesktopVirtualization/hostPools","It is recommended to adopt a multi-region deployment (active-active) for AVD. Each region should contain at least identity, name resolution, AVD management resources, and session hosts in case of a primary region outage.
","Medium",,"Verified","Active","none"
"Faster recovery from outages",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/azure-virtual-desktop/business-continuity#golden-images","False","0bf1a2bb-7617-4ab2-a784-e7ea40c5f01b","no","Store Golden Image Redundantly for Disaster Recovery","False","Disaster Recovery","Microsoft.DesktopVirtualization/hostPools","If a full BCDR strategy is not in place, consider using zone-redundant storage to store golden images across availability zones. Having the image available will allow for faster recovery in case of zonal or regional outage.
","Low",,"Verified","Active","none"
